"Key","SourceString"
"Customization.Item.Torso.SKM_Jacket_Worker_LightGreen","САЛАТОВАЯ РАБОЧАЯ КУРТКА"
"Customization.Item.Torso.SKM_Jacket_Worker_Orange","ОРАНЖЕВАЯ РАБОЧАЯ КУРТКА"
"Customization.Item.Torso.SKM_Shirt_RolledUp_Bege","БЕЖЕВАЯ РАБОЧАЯ РУБАШКА"
"Customization.Item.Torso.SKM_Shirt_RolledUp_Black","ЧЁРНАЯ РАБОЧАЯ РУБАШКА"
"Customization.Item.Torso.SKM_Shirt_RolledUp_Blue","СИНЯЯ РАБОЧАЯ РУБАШКА"
"Customization.Item.Torso.SKM_Shirt_RolledUp_Green","ЗЕЛЁНАЯ РАБОЧАЯ РУБАШКА"
"Customization.Item.Torso.SKM_Shirt_RolledUp_Red","КРАСНАЯ РАБОЧАЯ РУБАШКА"
"Customization.Item.Torso.SKM_Shirt_RolledUp_RedCage","КРАСНАЯ В КЛЕТКУ РАБОЧАЯ РУБАШКА"
"Customization.Item.Torso.SKM_Shirt_RolledUp_White","БЕЛАЯ РАБОЧАЯ РУБАШКА"
"Customization.Item.Torso.SKM_Shirt_RolledUp_White_Cage","БЕЛАЯ В КЛЕТКУ РАБОЧАЯ РУБАШКА"
"Customization.Item.Torso.SKM_TShirt_Bege","БЕЖЕВАЯ ФУТБОЛКА"
"Customization.Item.Torso.SKM_TShirt_Black","ЧЁРНАЯ ФУТБОЛКА"
"Customization.Item.Torso.SKM_TShirt_Blue","СИНЯЯ ФУТБОЛКА"
"Customization.Item.Torso.SKM_TShirt_Gray","СЕРАЯ ФУТБОЛКА"
"Customization.Item.Torso.SKM_TShirt_Green","ЗЕЛЁНАЯ ФУТБОЛКА"
"Customization.Item.Torso.SKM_TShirt_Red","КРАСНАЯ ФУТБОЛКА"
"Customization.Item.Watch.Watch_L_Bege","БЕЖЕВЫЕ — ЛЕВАЯ"
"Customization.Item.Watch.Watch_L_Bege.CurrentSelection","БЕЖЕВЫЕ, ЛЕВАЯ РУКА"
"Customization.Item.Watch.Watch_L_Black","ЧЁРНЫЕ — ЛЕВАЯ"
"Customization.Item.Watch.Watch_L_Black.CurrentSelection","ЧЁРНЫЕ, ЛЕВАЯ РУКА"
"Customization.Item.Watch.Watch_R_Bege","БЕЖЕВЫЕ — ПРАВАЯ"
"Customization.Item.Watch.Watch_R_Bege.CurrentSelection","БЕЖЕВЫЕ, ПРАВАЯ РУКА"
"Customization.Item.Watch.Watch_R_Black","ЧЁРНЫЕ — ПРАВАЯ"
"Customization.Item.Watch.Watch_R_Black.CurrentSelection","ЧЁРНЫЕ, ПРАВАЯ РУКА"
"Customization.Common.TooltipWithReasonFormat","{0} — {1}"
"Customization.Section.Lower","НИЗ"
"Customization.Section.Helmets","КАСКИ"
"Customization.Section.Masks","МАСКИ"
"Customization.Section.Jacket","КУРТКА"
"Customization.Preset.Loadout.SKM_Worker_Male_1.Head","Жёлтая каска"
"Customization.Preset.Loadout.SKM_Worker_Male_1.Face","Нет"
"Customization.Preset.Loadout.SKM_Worker_Male_1.Upper","Салатовая рабочая куртка"
"Customization.Preset.Loadout.SKM_Worker_Male_1.Hands","Нет"
"Customization.Preset.Loadout.SKM_Worker_Male_1.Lower","Салатовые брюки"
"Customization.Preset.Loadout.SKM_Worker_Male_2.Head","Оранжевая каска"
"Customization.Preset.Loadout.SKM_Worker_Male_2.Face","Рабочие очки"
"Customization.Preset.Loadout.SKM_Worker_Male_2.Upper","Бежевая рабочая куртка"
"Customization.Preset.Loadout.SKM_Worker_Male_2.Hands","Серые рабочие перчатки"
"Customization.Preset.Loadout.SKM_Worker_Male_2.Lower","Бежевые брюки"
"Customization.Preset.Loadout.SKM_Worker_Male_3.Head","Белая каска"
"Customization.Preset.Loadout.SKM_Worker_Male_3.Face","Классические очки"
"Customization.Preset.Loadout.SKM_Worker_Male_3.Upper","Серая рабочая куртка"
"Customization.Preset.Loadout.SKM_Worker_Male_3.Hands","Нет"
"Customization.Preset.Loadout.SKM_Worker_Male_3.Lower","Серые брюки"
"Customization.Preset.Loadout.SKM_Worker_Male_4.Head","Чёрная шапка"
"Customization.Preset.Loadout.SKM_Worker_Male_4.Face","Нет"
"Customization.Preset.Loadout.SKM_Worker_Male_4.Upper","Оранжевая рабочая куртка"
"Customization.Preset.Loadout.SKM_Worker_Male_4.Hands","Нет"
"Customization.Preset.Loadout.SKM_Worker_Male_4.Lower","Оранжевые брюки"
"Customization.Preset.Loadout.SKM_Worker_Male_5.Head","Белая каска"
"Customization.Preset.Loadout.SKM_Worker_Male_5.Face","Нет"
"Customization.Preset.Loadout.SKM_Worker_Male_5.Upper","Клетчатая рубашка, оранжевый жилет"
"Customization.Preset.Loadout.SKM_Worker_Male_5.Hands","Серые рабочие перчатки"
"Customization.Preset.Loadout.SKM_Worker_Male_5.Lower","Синие джинсы"
"Customization.Preset.Loadout.SKM_Worker_Male_6.Head","Жёлтая каска"
"Customization.Preset.Loadout.SKM_Worker_Male_6.Face","Белые рабочие очки"
"Customization.Preset.Loadout.SKM_Worker_Male_6.Upper","Серая футболка, жёлтый жилет"
"Customization.Preset.Loadout.SKM_Worker_Male_6.Hands","Жёлтые рабочие перчатки"
"Customization.Preset.Loadout.SKM_Worker_Male_6.Lower","Синие джинсы, бежевая сумка"
"Customization.Preset.Loadout.SKM_Worker_Male_7.Head","Серая вязаная шапка"
"Customization.Preset.Loadout.SKM_Worker_Male_7.Face","Нет"
"Customization.Preset.Loadout.SKM_Worker_Male_7.Upper","Чёрная футболка, оранжевый жилет"
"Customization.Preset.Loadout.SKM_Worker_Male_7.Hands","Нет"
"Customization.Preset.Loadout.SKM_Worker_Male_7.Lower","Серые брюки"
"Customization.Preset.Loadout.SKM_Worker_Male_8.Head","Оранжевая каска"
"Customization.Preset.Loadout.SKM_Worker_Male_8.Face","Нет"
"Customization.Preset.Loadout.SKM_Worker_Male_8.Upper","Чёрная рубашка, оранжевый жилет"
"Customization.Preset.Loadout.SKM_Worker_Male_8.Hands","Оранжевые рабочие перчатки"
"Customization.Preset.Loadout.SKM_Worker_Male_8.Lower","Бежевые брюки"
"Customization.Preset.Loadout.SKM_Worker_Male_9.Head","Жёлтая каска"
"Customization.Preset.Loadout.SKM_Worker_Male_9.Face","Нет"
"Customization.Preset.Loadout.SKM_Worker_Male_9.Upper","Красная футболка"
"Customization.Preset.Loadout.SKM_Worker_Male_9.Hands","Жёлтые рабочие перчатки"
"Customization.Preset.Loadout.SKM_Worker_Male_9.Lower","Тёмно-синий комбинезон"
"Customization.Preset.Loadout.SKM_Worker_Male_10.Head","Оранжевая каска"
"Customization.Preset.Loadout.SKM_Worker_Male_10.Face","Белые рабочие очки"
"Customization.Preset.Loadout.SKM_Worker_Male_10.Upper","Белая рубашка"
"Customization.Preset.Loadout.SKM_Worker_Male_10.Hands","Рабочие перчатки"
"Customization.Preset.Loadout.SKM_Worker_Male_10.Lower","Бежевый комбинезон, сумка"
"Customization.Preset.Loadout.SKM_Worker_Male_11.Head","Бежевая кепка"
"Customization.Preset.Loadout.SKM_Worker_Male_11.Face","Защитные очки"
"Customization.Preset.Loadout.SKM_Worker_Male_11.Upper","Бежевая футболка, рабочий полукомбинезон"
"Customization.Preset.Loadout.SKM_Worker_Male_11.Hands","Рабочие перчатки"
"Customization.Preset.Loadout.SKM_Worker_Male_11.Lower","Брюки полукомбинезона, поясная сумка"
"Customization.Preset.Loadout.SKM_Worker_Male_12.Head","Бежевая шапка"
"Customization.Preset.Loadout.SKM_Worker_Male_12.Face","Классические очки"
"Customization.Preset.Loadout.SKM_Worker_Male_12.Upper","Зелёная рубашка"
"Customization.Preset.Loadout.SKM_Worker_Male_12.Hands","Бежевые военные часы"
"Customization.Preset.Loadout.SKM_Worker_Male_12.Lower","Подвёрнутые джинсы, бежевая сумка"
"Customization.Preset.Loadout.SKM_Worker_Male_13.Head","Кепка, оранжевые наушники"
"Customization.Preset.Loadout.SKM_Worker_Male_13.Face","Тёмные очки"
"Customization.Preset.Loadout.SKM_Worker_Male_13.Upper","Чёрная футболка"
"Customization.Preset.Loadout.SKM_Worker_Male_13.Hands","Оранжевые рабочие перчатки"
"Customization.Preset.Loadout.SKM_Worker_Male_13.Lower","Оранжевые брюки"
"Customization.Preset.Loadout.SKM_Worker_Male_14.Head","Жёлтые наушники"
"Customization.Preset.Loadout.SKM_Worker_Male_14.Face","Золотые авиаторы"
"Customization.Preset.Loadout.SKM_Worker_Male_14.Upper","Серая футболка, салатовый жилет"
"Customization.Preset.Loadout.SKM_Worker_Male_14.Hands","Жёлтые рабочие перчатки"
"Customization.Preset.Loadout.SKM_Worker_Male_14.Lower","Синие джинсы"
"Customization.Preset.Loadout.SKM_Worker_Male_15.Head","Кепка, оранжевые наушники"
"Customization.Preset.Loadout.SKM_Worker_Male_15.Face","Нет"
"Customization.Preset.Loadout.SKM_Worker_Male_15.Upper","Оранжевая рабочая куртка"
"Customization.Preset.Loadout.SKM_Worker_Male_15.Hands","Нет"
"Customization.Preset.Loadout.SKM_Worker_Male_15.Lower","Оранжевые брюки"
"Customization.Preset.Loadout.SKM_Worker_Male_16.Head","Фермерская шляпа"
"Customization.Preset.Loadout.SKM_Worker_Male_16.Face","Нет"
"Customization.Preset.Loadout.SKM_Worker_Male_16.Upper","Белая клетчатая рубашка"
"Customization.Preset.Loadout.SKM_Worker_Male_16.Hands","Рабочие перчатки"
"Customization.Preset.Loadout.SKM_Worker_Male_16.Lower","Синий комбинезон"
"Customization.Preset.Loadout.SKM_Worker_Male_17.Head","Ковбойская шляпа"
"Customization.Preset.Loadout.SKM_Worker_Male_17.Face","Золотые авиаторы"
"Customization.Preset.Loadout.SKM_Worker_Male_17.Upper","Красная клетчатая рубашка"
"Customization.Preset.Loadout.SKM_Worker_Male_17.Hands","Коричневые рабочие перчатки"
"Customization.Preset.Loadout.SKM_Worker_Male_17.Lower","Синие джинсы"
"Customization.Preset.Loadout.SKM_Worker_Male_18.Head","Нет"
"Customization.Preset.Loadout.SKM_Worker_Male_18.Face","Золотые авиаторы"
"Customization.Preset.Loadout.SKM_Worker_Male_18.Upper","Бежевая футболка"
"Customization.Preset.Loadout.SKM_Worker_Male_18.Hands","Нет"
"Customization.Preset.Loadout.SKM_Worker_Male_18.Lower","Синий комбинезон"
"Customization.Preset.Loadout.SKM_Worker_Male_19.Head","Синяя плоская кепка"
"Customization.Preset.Loadout.SKM_Worker_Male_19.Face","Нет"
"Customization.Preset.Loadout.SKM_Worker_Male_19.Upper","Бежевая куртка M65"
"Customization.Preset.Loadout.SKM_Worker_Male_19.Hands","Нет"
"Customization.Preset.Loadout.SKM_Worker_Male_19.Lower","Синие джинсы"
"Customization.Preset.Loadout.SKM_Worker_Male_20.Head","Серая плоская кепка"
"Customization.Preset.Loadout.SKM_Worker_Male_20.Face","Нет"
"Customization.Preset.Loadout.SKM_Worker_Male_20.Upper","Красная клетчатая рубашка"
"Customization.Preset.Loadout.SKM_Worker_Male_20.Hands","Нет"
"Customization.Preset.Loadout.SKM_Worker_Male_20.Lower","Тёмно-синий комбинезон"
"Customization.Preset.Loadout.SKM_Worker_Male_21.Head","Чёрная кепка"
"Customization.Preset.Loadout.SKM_Worker_Male_21.Face","Рабочие очки, респиратор"
"Customization.Preset.Loadout.SKM_Worker_Male_21.Upper","Белая футболка"
"Customization.Preset.Loadout.SKM_Worker_Male_21.Hands","Серые рабочие перчатки"
"Customization.Preset.Loadout.SKM_Worker_Male_21.Lower","Серые брюки"
"Customization.Preset.Loadout.SKM_Worker_Male_22.Head","Нет"
"Customization.Preset.Loadout.SKM_Worker_Male_22.Face","Нет"
"Customization.Preset.Loadout.SKM_Worker_Male_22.Upper","Красная футболка"
"Customization.Preset.Loadout.SKM_Worker_Male_22.Hands","Нет"
"Customization.Preset.Loadout.SKM_Worker_Male_22.Lower","Синие брюки"
"Customization.Preset.Loadout.SKM_Worker_Male_23.Head","Бежевая шапка"
"Customization.Preset.Loadout.SKM_Worker_Male_23.Face","Нет"
"Customization.Preset.Loadout.SKM_Worker_Male_23.Upper","Синяя футболка"
"Customization.Preset.Loadout.SKM_Worker_Male_23.Hands","Рабочие перчатки"
"Customization.Preset.Loadout.SKM_Worker_Male_23.Lower","Бежевые брюки"
"Customization.Preset.Loadout.SKM_Worker_Male_24.Head","Красная кепка"
"Customization.Preset.Loadout.SKM_Worker_Male_24.Face","Нет"
"Customization.Preset.Loadout.SKM_Worker_Male_24.Upper","Красная футболка"
"Customization.Preset.Loadout.SKM_Worker_Male_24.Hands","Чёрные военные часы"
"Customization.Preset.Loadout.SKM_Worker_Male_24.Lower","Серые брюки"
"Customization.Preset.Loadout.SKM_Worker_Male_25.Head","Цветная кепка"
"Customization.Preset.Loadout.SKM_Worker_Male_25.Face","Нет"
"Customization.Preset.Loadout.SKM_Worker_Male_25.Upper","Белая клетчатая рубашка"
"Customization.Preset.Loadout.SKM_Worker_Male_25.Hands","Нет"
"Customization.Preset.Loadout.SKM_Worker_Male_25.Lower","Бежевые брюки"
"MainMenu.Title","AVARIIKA"
"MainMenu.Subtitle","АВАРИЙНАЯ БРИГАДА // ГЛАВНЫЙ ТЕРМИНАЛ"
"MainMenu.InputHint","↑↓ / W S / D-PAD — НАВИГАЦИЯ    ENTER / A — ВЫБОР    ESC / B — НАЗАД    v0.1"
"MainMenu.Continue","ПРОДОЛЖИТЬ"
"MainMenu.NewGame","НОВАЯ ИГРА"
"MainMenu.Multiplayer","СЕТЕВАЯ ИГРА"
"MainMenu.Settings","НАСТРОЙКИ"
"MainMenu.Credits","АВТОРЫ"
"MainMenu.Exit","ВЫХОД"
"MainMenu.ComingSoon","СКОРО"
"MainMenu.Common.Yes","ДА"
"MainMenu.Common.No","НЕТ"
"MainMenu.Common.Cancel","ОТМЕНА"
"MainMenu.Common.Back","НАЗАД"
"MainMenu.Common.On","ВКЛ"
"MainMenu.Common.Off","ВЫКЛ"
"MainMenu.Settings.Title","НАСТРОЙКИ"
"MainMenu.Settings.Resolution","РАЗРЕШЕНИЕ"
"MainMenu.Settings.WindowMode","РЕЖИМ ОКНА"
"MainMenu.Settings.VSync","ВЕРТИКАЛЬНАЯ СИНХРОНИЗАЦИЯ"
"MainMenu.Settings.OverallQuality","КАЧЕСТВО ГРАФИКИ"
"MainMenu.Settings.Master","ОБЩАЯ ГРОМКОСТЬ"
"MainMenu.Settings.SFX","ЭФФЕКТЫ"
"MainMenu.Settings.Music","МУЗЫКА"
"MainMenu.Settings.Voice","ГОЛОС"
"MainMenu.Settings.Language","ЯЗЫК"
"MainMenu.Settings.Language.Description","Переключает язык интерфейса сразу. Выбор сохраняется для следующего запуска."
"MainMenu.Settings.Controls","УПРАВЛЕНИЕ"
"MainMenu.Settings.ControlsPlaceholder","БУДЕТ ПОДКЛЮЧЕНО ПОЗЖЕ"
"MainMenu.Settings.Apply","ПРИМЕНИТЬ"
"MainMenu.Settings.Revert","СБРОСИТЬ"
"MainMenu.Settings.Discard","ОТБРОСИТЬ"
"MainMenu.Settings.AudioRoutingDeferred","Каналы ЭФФЕКТЫ / МУЗЫКА / ГОЛОС будут включены после принятия project-owned audio routing."
"MainMenu.Settings.WindowMode.Fullscreen","ПОЛНЫЙ ЭКРАН"
"MainMenu.Settings.WindowMode.Windowed","ОКНО"
"MainMenu.Settings.WindowMode.Borderless","БЕЗ РАМОК"
"MainMenu.Settings.Quality.Low","НИЗКОЕ"
"MainMenu.Settings.Quality.Medium","СРЕДНЕЕ"
"MainMenu.Settings.Quality.High","ВЫСОКОЕ"
"MainMenu.Settings.Quality.Epic","ЭПИЧЕСКОЕ"
"MainMenu.Settings.Quality.Custom","ПОЛЬЗОВАТЕЛЬСКОЕ"
"MainMenu.Settings.Quality.Cinematic","КИНЕМАТОГРАФИЧЕСКОЕ"
"MainMenu.Settings.Aspect.Any","ЛЮБОЕ"
"MainMenu.Settings.Aspect.16x9","16:9"
"MainMenu.Settings.Aspect.16x10","16:10"
"MainMenu.Settings.Aspect.21x9","21:9"
"MainMenu.Settings.Aspect.4x3","4:3"
"MainMenu.Settings.Color.Normal","БЕЗ КОРРЕКЦИИ"
"MainMenu.Settings.Color.Deuteranope","ДЕЙТЕРАНОПИЯ"
"MainMenu.Settings.Color.Protanope","ПРОТАНОПИЯ"
"MainMenu.Settings.Color.Tritanope","ТРИТАНОПИЯ"
"MainMenu.Settings.Renderer.Disabled","ВЫКЛ"
"MainMenu.Settings.Renderer.Lumen","LUMEN"
"MainMenu.Settings.Renderer.ScreenSpace","ЭКРАННОЕ ПРОСТРАНСТВО"
"MainMenu.Settings.AA.None","БЕЗ СГЛАЖИВАНИЯ"
"MainMenu.Settings.AA.FXAA","FXAA"
"MainMenu.Settings.AA.TAA","TAA"
"MainMenu.Settings.AA.TSR","TSR"
"MainMenu.Settings.Language.Russian","РУССКИЙ"
"MainMenu.Settings.Language.English","ENGLISH"
"MainMenu.Credits.Title","АВТОРЫ"
"MainMenu.Credits.Placeholder","PROJECT AVARIIKA — состав команды и финальные титры будут добавлены отдельным этапом."
"MainMenu.Confirm.NewGame.Title","НОВАЯ ИГРА"
"MainMenu.Confirm.NewGame.Body","Найдено сохранение компании. Продолжить к будущему потоку создания компании и персонажа? Текущие данные не будут удалены."
"MainMenu.Confirm.Exit.Title","ВЫХОД ИЗ ИГРЫ"
"MainMenu.Confirm.Exit.Body","Завершить работу AVARIIKA?"
"MainMenu.Confirm.Display.Title","СОХРАНИТЬ ПАРАМЕТРЫ ЭКРАНА?"
"MainMenu.Confirm.Display.Body","Подтвердите разрешение и режим окна. НЕТ или ESC безопасно вернут предыдущие параметры."
"MainMenu.Confirm.Display.Keep","СОХРАНИТЬ"
"MainMenu.Confirm.Display.Revert","ВЕРНУТЬ"
"MainMenu.Confirm.Reset.Title","СБРОСИТЬ НАСТРОЙКИ?"
"MainMenu.Confirm.Reset.Body","Вернуть настройки AVARIIKA к безопасным значениям по умолчанию? Игровое сохранение не изменится."
"MainMenu.Confirm.Unsaved.Title","ЕСТЬ НЕПРИМЕНЁННЫЕ ИЗМЕНЕНИЯ"
"MainMenu.Confirm.Unsaved.Body","Применить изменения перед выходом? ОТБРОСИТЬ вернёт последние сохранённые значения, ESC отменит выход."
"MainMenu.Info.Title","МАРШРУТ ПОДГОТОВЛЕН"
"MainMenu.Info.FutureRoute","Этот переход подключается отдельной задачей. Сохранения и карты demo не изменены."
"MainMenu.MSP.Tab.Gameplay","ИГРОВОЙ ПРОЦЕСС"
"MainMenu.MSP.Tab.Audio","АУДИО"
"MainMenu.MSP.Tab.Video","ВИДЕО"
"MainMenu.MSP.Tab.Controls","УПРАВЛЕНИЕ"
"MainMenu.MSP.Tab.Display","ЭКРАН"
"MainMenu.MSP.Tab.Graphics","ГРАФИКА"
"MainMenu.MSP.Tab.General","ОСНОВНЫЕ"
"MainMenu.MSP.Tab.VoiceChat","ГОЛОСОВОЙ ЧАТ"
"MainMenu.MSP.Category.Display","ЭКРАН"
"MainMenu.MSP.Category.Performance","ПРОИЗВОДИТЕЛЬНОСТЬ"
"MainMenu.MSP.Category.Colors","ЦВЕТА"
"MainMenu.MSP.Category.Quality","КАЧЕСТВО"
"MainMenu.MSP.Category.Advanced","РАСШИРЕННЫЕ"
"MainMenu.MSP.Category.Resolution","РАЗРЕШЕНИЕ"
"MainMenu.MSP.Common.Apply","ПРИМЕНИТЬ"
"MainMenu.MSP.Common.ResetSettings","СБРОСИТЬ НАСТРОЙКИ"
"MainMenu.MSP.Value.Unlocked","БЕЗ ОГРАНИЧЕНИЯ"
"MainMenu.MSP.Value.Default","ПО УМОЛЧАНИЮ"
"MainMenu.MSP.Value.VeryLow","ОЧЕНЬ НИЗКОЕ"
"MainMenu.MSP.Value.Far","ДАЛЕКО"
"MainMenu.MSP.Value.ScreenSpace","ЭКРАННОЕ ПРОСТРАНСТВО"
"MainMenu.MSP.Video.WindowMode","РЕЖИМ ОКНА"
"MainMenu.MSP.Video.WindowMode.Description","Выбирает полноэкранный, оконный или безрамочный режим. По умолчанию: ПОЛНЫЙ ЭКРАН."
"MainMenu.MSP.Video.AspectRatio","СООТНОШЕНИЕ СТОРОН"
"MainMenu.MSP.Video.AspectRatio.Description","Задаёт соотношение сторон изображения. По умолчанию: АВТОМАТИЧЕСКИ ПО ДИСПЛЕЮ."
"MainMenu.MSP.Video.Resolution","РАЗРЕШЕНИЕ ЭКРАНА"
"MainMenu.MSP.Video.Resolution.Description","Задаёт разрешение вывода для выбранного режима окна. По умолчанию: СИСТЕМНОЕ."
"MainMenu.MSP.Video.Brightness","ЯРКОСТЬ"
"MainMenu.MSP.Video.Brightness.Description","Регулирует яркость игрового изображения. По умолчанию: 100 %."
"MainMenu.MSP.Video.FPSLock","ОГРАНИЧЕНИЕ FPS"
"MainMenu.MSP.Video.FPSLock.Description","Ограничивает максимальную частоту кадров. По умолчанию: БЕЗ ОГРАНИЧЕНИЯ."
"MainMenu.MSP.Video.VSync","ВЕРТИКАЛЬНАЯ СИНХРОНИЗАЦИЯ"
"MainMenu.MSP.Video.VSync.Description","Синхронизирует кадры с частотой дисплея и уменьшает разрывы изображения. По умолчанию: ВЫКЛ."
"MainMenu.MSP.Video.ColorDeficiencyType","ТИП ЦВЕТОВОЙ КОРРЕКЦИИ"
"MainMenu.MSP.Video.ColorDeficiencyType.Description","Выбирает режим коррекции цветов для особенностей цветовосприятия. По умолчанию: ВЫКЛ."
"MainMenu.MSP.Video.ColorDeficiencyStrength","СИЛА ЦВЕТОВОЙ КОРРЕКЦИИ"
"MainMenu.MSP.Video.ColorDeficiencyStrength.Description","Регулирует интенсивность выбранной цветовой коррекции. По умолчанию: 0."
"MainMenu.MSP.Graphics.QualityPreset","ПРЕСЕТ КАЧЕСТВА"
"MainMenu.MSP.Graphics.QualityPreset.Description","Применяет общий набор параметров качества. По умолчанию: ВЫСОКОЕ."
"MainMenu.MSP.Graphics.GlobalIllumination","ГЛОБАЛЬНОЕ ОСВЕЩЕНИЕ"
"MainMenu.MSP.Graphics.GlobalIllumination.Description","Управляет качеством непрямого освещения. По умолчанию: ВЫСОКОЕ."
"MainMenu.MSP.Graphics.Shadows","ТЕНИ"
"MainMenu.MSP.Graphics.Shadows.Description","Управляет качеством и дальностью теней. По умолчанию: ВЫСОКОЕ."
"MainMenu.MSP.Graphics.AntiAliasing","СГЛАЖИВАНИЕ"
"MainMenu.MSP.Graphics.AntiAliasing.Description","Управляет качеством сглаживания краёв. По умолчанию: ВЫСОКОЕ."
"MainMenu.MSP.Graphics.ViewDistance","ДАЛЬНОСТЬ ПРОРИСОВКИ"
"MainMenu.MSP.Graphics.ViewDistance.Description","Управляет дальностью отображения объектов. По умолчанию: ВЫСОКОЕ."
"MainMenu.MSP.Graphics.Textures","ТЕКСТУРЫ"
"MainMenu.MSP.Graphics.Textures.Description","Управляет качеством и детализацией текстур. По умолчанию: ВЫСОКОЕ."
"MainMenu.MSP.Graphics.Effects","ЭФФЕКТЫ"
"MainMenu.MSP.Graphics.Effects.Description","Управляет качеством визуальных эффектов. По умолчанию: ВЫСОКОЕ."
"MainMenu.MSP.Graphics.Reflections","ОТРАЖЕНИЯ"
"MainMenu.MSP.Graphics.Reflections.Description","Управляет качеством отражений. По умолчанию: ВЫСОКОЕ."
"MainMenu.MSP.Graphics.Foliage","РАСТИТЕЛЬНОСТЬ"
"MainMenu.MSP.Graphics.Foliage.Description","Управляет плотностью и дальностью растительности. По умолчанию: ВЫСОКОЕ."
"MainMenu.MSP.Graphics.Shading","ШЕЙДИНГ"
"MainMenu.MSP.Graphics.Shading.Description","Управляет качеством затенения материалов. По умолчанию: ВЫСОКОЕ."
"MainMenu.MSP.Graphics.PostProcessing","ПОСТОБРАБОТКА"
"MainMenu.MSP.Graphics.PostProcessing.Description","Управляет качеством эффектов постобработки. По умолчанию: ВЫСОКОЕ."
"MainMenu.MSP.Graphics.GlobalIlluminationMethod","МЕТОД ГЛОБАЛЬНОГО ОСВЕЩЕНИЯ"
"MainMenu.MSP.Graphics.GlobalIlluminationMethod.Description","Выбирает доступный метод глобального освещения, включая Lumen. По умолчанию: LUMEN."
"MainMenu.MSP.Graphics.ReflectionMethod","МЕТОД ОТРАЖЕНИЙ"
"MainMenu.MSP.Graphics.ReflectionMethod.Description","Выбирает доступный метод отражений. По умолчанию: LUMEN."
"MainMenu.MSP.Graphics.MotionBlur","РАЗМЫТИЕ В ДВИЖЕНИИ"
"MainMenu.MSP.Graphics.MotionBlur.Description","Включает размытие изображения при движении камеры. По умолчанию: ВЫКЛ."
"MainMenu.MSP.Graphics.LensFlares","БЛИКИ ОБЪЕКТИВА"
"MainMenu.MSP.Graphics.LensFlares.Description","Включает блики от ярких источников света. По умолчанию: ВКЛ."
"MainMenu.MSP.Graphics.Bloom","СВЕЧЕНИЕ"
"MainMenu.MSP.Graphics.Bloom.Description","Включает свечение ярких областей изображения. По умолчанию: ВКЛ."
"MainMenu.MSP.Graphics.AmbientOcclusion","КОНТАКТНЫЕ ТЕНИ"
"MainMenu.MSP.Graphics.AmbientOcclusion.Description","Усиливает затенение в местах контакта поверхностей. По умолчанию: ВКЛ."
"MainMenu.MSP.Graphics.ResolutionScale","МАСШТАБ РАЗРЕШЕНИЯ"
"MainMenu.MSP.Graphics.ResolutionScale.Description","Изменяет внутреннее разрешение рендера. По умолчанию: 100 %."
"MainMenu.MSP.Graphics.UpscaleQuality","КАЧЕСТВО МАСШТАБИРОВАНИЯ"
"MainMenu.MSP.Graphics.UpscaleQuality.Description","Управляет качеством встроенного масштабирования изображения. По умолчанию: КАЧЕСТВО."
"MainMenu.MSP.Graphics.AntiAliasingMethod","МЕТОД СГЛАЖИВАНИЯ"
"MainMenu.MSP.Graphics.AntiAliasingMethod.Description","Выбирает поддерживаемый метод сглаживания. По умолчанию: TSR."
"MainMenu.MSP.Graphics.TemporalUpsampling","ВРЕМЕННОЕ МАСШТАБИРОВАНИЕ"
"MainMenu.MSP.Graphics.TemporalUpsampling.Description","Использует временные данные кадров при масштабировании. По умолчанию: ВКЛ."
"MainMenu.MSP.Audio.Master","ОБЩАЯ ГРОМКОСТЬ"
"MainMenu.MSP.Audio.Master.Description","Управляет общей громкостью игры. По умолчанию: 100 %."
"MainMenu.MSP.Audio.SFX","ЗВУКОВЫЕ ЭФФЕКТЫ"
"MainMenu.MSP.Audio.SFX.Description","Регулирует громкость звуков интерфейса, окружения и игровых эффектов. По умолчанию: 100 %."
"MainMenu.MSP.Audio.Music","МУЗЫКА"
"MainMenu.MSP.Audio.Music.Description","Регулирует громкость фоновой и игровой музыки. По умолчанию: 100 %."
"MainMenu.MSP.Audio.Voice","ГОЛОС"
"MainMenu.MSP.Audio.Voice.Description","Регулирует громкость диалогов, радиосвязи и голосовых сообщений. По умолчанию: 100 %."
"MainMenu.MSP.Audio.OutputDevice","УСТРОЙСТВО ВЫВОДА"
"MainMenu.MSP.Audio.OutputDevice.Description","Используется системное устройство вывода звука."
"MainMenu.MSP.Audio.SystemDefault","СИСТЕМНОЕ ПО УМОЛЧАНИЮ"
"MainMenu.MSP.Audio.OutputDevice.DisabledDescription","Выбор устройства отключён до подключения проверенного project-owned backend. Используется системное устройство по умолчанию."
